person,steps
nathan,2145
nathan,9190
nathan,7200
nathan,6360
nathan,17357
nathan,4028
nathan,1280
nathan,12316
nathan,2736
nathan,7034
nathan,6002
nathan,12957
nathan,4884
nathan,9568
nathan,7779
nathan,2959
nathan,10171
nathan,11535
nathan,3204
nathan,4046
nathan,18416
nathan,9021
nathan,4107
nathan,8548
nathan,9485
nathan,7615
nathan,13871
nathan,3435
nathan,8519
nathan,9505
nathan,9527
nathan,13819
nathan,10673
nathan,10598
nathan,9979
nathan,10842
nathan,4034
nathan,4907
nathan,18882
nathan,4381
nathan,12209
nathan,8705
nathan,7508
nathan,5768
nathan,8726
nathan,1016
nathan,9518
nathan,10084
nathan,10830
nathan,6481
nathan,7495
nathan,3608
nathan,10614
nathan,5302
nathan,7669
nathan,5512
nathan,15489
nathan,7922
nathan,19542
nathan,14036
nathan,6145
nathan,12905
nathan,10832
nathan,5431
nathan,11915
nathan,17571
nathan,4261
nathan,11144
nathan,8252
nathan,5292
nathan,13247
nathan,8146
nathan,12165
nathan,24718
nathan,10062
nathan,5143
nathan,32859
nathan,2519
nathan,2217
nathan,8042
nathan,1507
nathan,12563
nathan,12864
nathan,606
nathan,7581
nathan,4820
nathan,10542
nathan,8395
nathan,4184
nathan,9572
nathan,4460
nathan,8291
nathan,21802
nathan,10824
nathan,12491
nathan,8635
nathan,16239
nathan,16490
nathan,15020
nathan,8367
nathan,8496
nathan,4058
nathan,7561
nathan,7541
nathan,16454
nathan,16941
nathan,22024
nathan,27836
nathan,22778
nathan,22218
nathan,34816
nathan,27187
nathan,29370
nathan,16631
nathan,19724
nathan,4626
nathan,13734
nathan,3048
nathan,7325
nathan,3702
nathan,3919
nathan,38556
nathan,6897
nathan,7881
nathan,4135
nathan,8272
nathan,5031
nathan,3552
nathan,779
nathan,6524
nathan,7927
nathan,4763
nathan,3797
nathan,3121
nathan,6664
nathan,520
nathan,1213
nathan,6203
nathan,9839
nathan,11335
nathan,12115
nathan,5076
nathan,8985
nathan,1761
nathan,7446
nathan,3031
nathan,3806
nathan,10287
nathan,11614
nathan,29778
nathan,642
nathan,7187
nathan,6468
nathan,5021
nathan,3378
nathan,5125
nathan,821
nathan,2558
nathan,15501
nathan,19205
nathan,21447
nathan,3714
nathan,13725
nathan,16781
nathan,790
nathan,11201
nathan,3967
nathan,5028
nathan,1917
nathan,5166
nathan,21973
nathan,848
nathan,4437
nathan,4522
nathan,7520
nathan,3787
nathan,6723
nathan,36255
nathan,5114
nathan,19162
nathan,3295
nathan,5527
nathan,6746
nathan,464
nathan,2589
nathan,2824
nathan,3874
nathan,3850
nathan,10004
nathan,2967
nathan,5072
nathan,5339
nathan,0
nathan,1245
nathan,3009
nathan,2717
nathan,6243
nathan,5100
nathan,2716
nathan,15704
nathan,17597
nathan,7603
nathan,1714
nathan,10365
nathan,1500
nathan,3944
nathan,1580
nathan,1262
nathan,10983
nathan,18454
nathan,3438
nathan,2849
nathan,16591
nathan,6370
nathan,5371
nathan,14460
nathan,13003
nathan,17872
nathan,11779
nathan,16431
nathan,13694
nathan,10789
nathan,11640
nathan,1166
nathan,3879
nathan,7539
nathan,17830
nathan,728
nathan,8497
nathan,4895
nathan,6591
nathan,5908
nathan,10633
nathan,18125
nathan,668
nathan,8526
nathan,3254
nathan,7026
